Company,Sub-processor,Service category / What they do
Cursor,AWS,
Cursor,Cloudflare,
Cursor,Microsoft Azure,
Cursor,Google Cloud Platform (GCP),
Cursor,Fireworks,
Cursor,Baseten,
Cursor,Together,
Cursor,OpenAI,
Cursor,Anthropic,
Cursor,Google Cloud Vertex API,
Cursor,xAI,
Cursor,Turbopuffer,
Cursor,Exa,
Cursor,SerpApi,
Cursor,MongoDB,
Cursor,Datadog,
Cursor,Databricks,
Cursor,Foundry,
Cursor,Voltage Park,
Cursor,Slack,
Cursor,Google Workspace,
Cursor,Sentry,
Cursor,Mistral,
Cursor,Pinecone,
Cursor,Amplitude,
Cursor,HashiCorp,
Cursor,Stripe,
Cursor,Vercel,
Cursor,WorkOS,
Replit,Amplitude,Analytics
Replit,"Anima App, Inc.",Design system imports
Replit,Anthropic,AI models
Replit,AppsFlyer INC,Analytics and customer interactions
Replit,Attribution Inc.,Marketing and analytics
Replit,Catamorphic Co. DBA LaunchDarkly,Engineering
Replit,"Civilized Discourse Construction Kit, Inc",Customer support
Replit,Clazar,Billing
Replit,Cloudflare,Cloud infrastructure
Replit,Common Room,Customer support
Replit,"Datadog, Inc.",Analytics
Replit,Enterpret,Customer feedback
Replit,Fivetran,Data storage and processing
Replit,"Google, Inc","Cloud Infrastructure for our apps and services, AI models; analytics and customer interactions"
Replit,Grafana Labs,Cloud monitoring
Replit,Hashboard,Analytics
Replit,HashiCorp Cloud,Cloud infrastructure
Replit,Hex Technologies Inc,Analytics
Replit,HubSpot,Marketing
Replit,Inngest,Engineering
Replit,Iterable,Marketing
Replit,Looker Studio,Analytics
Replit,"Mailgun Technologies, Inc.",Marketing
Replit,Microsoft Azure,Cloud infrastructure
Replit,Name.com,Domain registrar
Replit,Neon,Database management
Replit,OpenAI,AI models
Replit,OpenRouter,AI model selection for Integrations
Replit,Orb,Billing
Replit,OWND ApS (Parahelp),Customer Support
Replit,Segment,Analytics
Replit,Sentry,Cloud monitoring
Replit,Stripe,Payment processing
Replit,Stytch,Analytics and identity
Replit,Synadia Cloud,Cloud services
Replit,Temporal Technologies Inc.,Engineering
Replit,Twilio,SMS verification
Replit,Verifi Inc.,Payments
Replit,WorkOS,Engineering
Replit,Zapier,Collaboration
Replit,Zendesk,Customer support
Replit,ZoomInfo,Analytics and marketing
Anthropic,Google Cloud Platform,Cloud infrastructure
Anthropic,Amazon Web Services,Cloud Infrastructure
Anthropic,Cloudflare,Traffic Routing (CDN)
Anthropic,Stripe,Billing
Anthropic,WorkOS,"Security, Single Sign-On"
Anthropic,Intercom,User support
Anthropic,Twilio,"Analytics, email/SMS communications"
Anthropic,Iterable,Email communications
Anthropic,"Functional Software, dba Sentry","Error Handling, User Support"
Anthropic,Sift,Fraud and abuse detection
Anthropic,Arkose Labs,Fraud and abuse detection
Anthropic,Brave Search,Web Search
Anthropic,ElevenLabs,Text to speech
Anthropic,Palantir Federal Cloud Service (PFCS),FedRAMP Cloud
Parloa,Microsoft,AMP / RTT / RBA
Parloa,MongoDB,AMP / RTT / RBA
Parloa,Brevo,AMP / RTT / RBA
Parloa,Datadog,AMP / RTT / RBA
Parloa,Twilio,optional for AMP / RTT / RBA
Parloa,VoiceON Telecom,optional for AMP / RTT / RBA
Parloa,TENIOS,optional for AMP / RTT / RBA
Parloa,Google,optional for AMP / RTT / RBA
Parloa,Here,optional for AMP / RTT / RBA
Parloa,Bird,optional for AMP / RTT / RBA
Parloa,Userlike,optional for AMP / RBA
Parloa,ElevenLabs,optional for AMP / RTT / RBA
Parloa,Auth0,AMP / RBA / RTT
Parloa,DeepL,RTT
Parloa,Datatrans AG,optional for AMP / RTT
Parloa,OpenAI,optional for AMP / RTT / RBA
poolside,Google,"Google Workspace, formerly G Suite, is used to process contractual data and communications with customers."
poolside,Amazon Web Services,AWS is used to process any Product Metrics and logging.
poolside,Gong,Gong is used to record customer calls. Calls are only recorded with the knowledge and consent of the customer.
poolside,Salesforce,"Salesforce is used to keep track of customers’ contractual data, contracts, etc."
poolside,ClickHouse,ClickHouse allows poolside to generate analytical reports using SQL queries in real time.
poolside,Grafana,Grafana monitors all user and customer activity.
OpenAI,"Cloudflare, Ltd.",Content delivery network provider
OpenAI,Microsoft Corporation,Cloud infrastructure
OpenAI,"CoreWeave, Inc.",Cloud infrastructure
OpenAI,Oracle Cloud Infrastructure,Cloud infrastructure
OpenAI,Google Cloud Platform,Cloud infrastructure
OpenAI,"Amazon Web Services, Inc.",Cloud infrastructure
OpenAI,"Snowflake, Inc.",Data warehousing
OpenAI,"TaskUs, LLC",Customer Support
OpenAI,"Intercom, Inc.",Customer support
OpenAI,Salesforce,Customer support
OpenAI,Accenture International Limited,Customer support
OpenAI,"Fivetran, Inc.",ETL provider
OpenAI,Confluent,Infrastructure management
OpenAI,"Cinder Technologies, Inc.",Platform for content moderation
OpenAI,"WorkOS, Inc.**",Cross-domain identity management
OpenAI,"Okta, Inc.",User authentication services (via Auth0)
OpenAI,"Merge API, Inc.**",Infrastructure management
Windsurf,Google Cloud Platform (GCP),"Usage analytics and logs are primarily hosted on GCP. These are located in the same region as the compute used for model inference. We also use GCP to host retained data under Enterprise Cloud plans if the opt-in has been selected for corresponding features (ex. remote indexing, organizational best practices, etc). This data retention happens in the customer tenant for the Enterprise Hybrid plans and therefore not within our instance of GCP."
Windsurf,Crusoe,"We manage Crusoe's compute for training some of our custom models, as well as hosting some of our custom models."
